"name","category","component_url","copied_link","thumbnail_url","thumbnail_file","status"
"013 Checkbox · Animated Checkmark","Categories","https://www.framer.com/community/marketplace/components/013-checkbox/","https://framer.com/m/AnimatedCheckbox-0ef7.js@ldUjddBf9yPiuCmnX6YD","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/UK39nyQu2kQo2YiUC5Pn/animated-checkbox-P2SXlcuylNLyFCiF23bc0QZYPhY30m","output/thumbnails/013-checkbox.png","Copied component [paste]"
"3 Animated Gradients · Free Backgrounds Component","Categories","https://www.framer.com/community/marketplace/components/3-animated-gradients/","https://framer.com/m/PlainBread-Studio-Animated-Backgrounds-V1-zIJg2v.js@xVYC2xsWsNq3qxXNPmg0","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/p9PbnQeo9VOsFNJVOpPW/3-animated-gradients-rIpK0gTbKbQKi7k7mPQzTmBot7JWWN","output/thumbnails/3-animated-gradients.jpg","Copied component [paste]"
"3 Pixel Grid · Animated micro-grid with 27 modes","Categories","https://www.framer.com/community/marketplace/components/3-pixel-grid/","https://framer.com/m/PixelGrid-3-cL2xLw.js@n60o80UdtRO6CAHC6Gbw","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/X2ijaj1Lz1zT5A5DLLJA/3-pixel-grid-9v4sl1LUU8VKMBPx871aE0dWAsS4i3","output/thumbnails/3-pixel-grid.png","Copied component [paste]"
"360° Panorama Viewer · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/360-panorama-viewer/","https://framer.com/m/Panorama-viewer-vQ9X.js@hXTFO2lVEgFvD50Ucsc0","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/irvyDZtlsBlQ1spSh7JS/360-panorama-viewer-4as09HSrPpyEtGQuWixhAWmjaT1PzE","output/thumbnails/360-panorama-viewer.png","Copied component [paste]"
"360 Scene Viewer · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/360-scene-viewer/","https://framer.com/m/SceneViewer360-7aNflK.js@BHn6vtknYWddXzXsBAGB","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/ObNokqRHABaVazK9CdV2/360-scene-viewer-pAiNLJPtFUcH1W6cyhxf01Ksk74gRO","output/thumbnails/360-scene-viewer.png","Copied component [paste]"
"3D Angle Card Hover · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-angle-card-hover/","https://framer.com/m/3D-Angle-card-hq7V.js@VcmBmmpv2DbXqnhbr3rH","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/jR4TTy59ccHoTIQUEJTe/3d-angle-card-hover-4leIhtzeAKbAUAMSNuCnq4WeDgmGYA","output/thumbnails/3d-angle-card-hover.jpg","Copied component [paste]"
"3d Book Button · Free Buttons Component","Categories","https://www.framer.com/community/marketplace/components/3d-book-button/","https://framer.com/m/3d-Book-Button-lj71.js@KJtwfEOBK1DZXG54OZIw","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/MqeFqdWQtcSgTcxVju7v/3d-book-button-FfAUP1uH0WlcL40v0FQ4219PyC3uFp","output/thumbnails/3d-book-button.jpg","Copied component [paste]"
"3D Book component · Free CMS Component","Categories","https://www.framer.com/community/marketplace/components/3d-book-component/","https://framer.com/m/3D-Book-m3Ab.js@TeBHxEUzMDdu8BXBLQ3k","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/6lrev8iV97BbCtO0OZb8/3d-book-component-PB3OSXLqTHWe61Y1l6vxenkQ0jL7Mm","output/thumbnails/3d-book-component.jpg","Copied component [paste]"
"3D Book · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-book/","https://framer.com/m/Book-AFRs.js@mxOP9zughWqzCr7yH17p","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/D8gGqBQ1exPcQX21HXG5-kTmg14r4TxrCdRPETXONZ48vl5Tcsu","output/thumbnails/3d-book.jpg","Copied component [paste]"
"3D Button · Interactive pressable 3D button","Categories","https://www.framer.com/community/marketplace/components/3d-button/","https://framer.com/m/3D-Button-gMIXNV.js@Y4YwCeYZB0ykuiqxYsAe","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/6Szo0dDcSQ9qdNqIVTUP/3d-button-ceg7yApNZ4VpqIxa6j5UyhBeYg5YTQ","output/thumbnails/3d-button.png","Copied component [paste]"
"3D Card Animation · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-card-animation/","https://framer.com/m/3D-Card-Animation-odtt.js@SFj1s6ecpSisg6vUsuXw","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/FqmvSBk3cdi7Np2g4poD/3d-card-animation-Ir8BifjoZI3VkUir2XALFttWJM28uR","output/thumbnails/3d-card-animation.png","Copied component [paste]"
"3D Card Stack · Stacked cards with depth","Categories","https://www.framer.com/community/marketplace/components/3d-card-stack/","https://framer.com/m/3D-Card-Stack-FpigMD.js@mFGfx55K8Z5NJCzeR81I","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/media/6427421c-1a43-46aa-9b50-06ed6b0308d1/8c253iu5","output/thumbnails/3d-card-stack.jpg","Copied component [paste]"
"3D Carousel Roll · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-carousel-roll/","https://framer.com/m/MakeCircularCrousel-0Wpc.js@S3wipjSm3shZqIijGnUJ","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/lPJ5ulPbjlQNZx9y1T9V/3d-carousel-roll-37BQmorPSeYsUl3Mi6QFb7kkt3etsk","output/thumbnails/3d-carousel-roll.png","Copied component [paste]"
"3D Circular Menu · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-circular-menu/","https://framer.com/m/menu-3d-6Ke5F2.js@nq7AcnxuvFUo5FYF3nVV","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/aCYPv4eUXvOQK3W6ckcN/3d-circular-menu-29E7ILpZwmuTSqDPdjWx2VxzlcgjLr","output/thumbnails/3d-circular-menu.png","Copied component [paste]"
"3D Coin · customizable 3D coin spinner","Categories","https://www.framer.com/community/marketplace/components/3d-coin/","https://framer.com/m/Coin3D-GVLqhc.js@B0lIOPySFFakgTs12mMj","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/media/4b6fcd8f-a982-4dfd-a445-68ca06faffec/2efs4y3c","output/thumbnails/3d-coin.jpg","Copied component [paste]"
"3D Depth Button · Free Buttons Component","Categories","https://www.framer.com/community/marketplace/components/3d-depth-button/","https://framer.com/m/3D-Depth-Button-VdXH.js@RDgaAnyWXBUIsJxcTeGr","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/OB9isI4yuTiQWQGA5SPu/3d-depth-button-EhxqP8bfWvLRTL7d3Mht8wKrvkY96J","output/thumbnails/3d-depth-button.jpg","Copied component [paste]"
"3D Depth Text Effect · Free Typography Component","Categories","https://www.framer.com/community/marketplace/components/3d-depth-text-effect/","https://framer.com/m/DepthTextEffect-BZvb.js@pCrCmRkP1gJdxxR4GjaI","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/ZXGVpRCoU3DBjYXsPqsC/3d-depth-text-effect-Rh0N2XGkQjH1TIiYK97JtRUjuoEs14","output/thumbnails/3d-depth-text-effect.jpg","Copied component [paste]"
"3d DigitalClock · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-digitalclock/","https://framer.com/m/DigitalClock-S1pE.js@O0QsOWXlb83jEiNbwiUA","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/7TidiE5rcF3fmIUFTATH/3d-digitalclock-MW2tT8RFGWczMmjpb6fKMxZM2KA951","output/thumbnails/3d-digitalclock.png","Copied component [paste]"
